title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà riêng tại đường Hạ Yên	pr41647907	41.0	11.45	5	5	2	21.0207473033534	105.795398721589	Cầu Giấy	Hà Nội
Nhà riêng tại đường Xa La	pr42585501	52.0	11.97	5	4	2	20.9603074355598	105.79225566899	Hà Đông	Hà Nội
Nhà riêng tại đường Cù Chính Lan	pr42616853	52.0	18.5	6	5	2	20.9996345396825	105.823197941059	Thanh Xuân	Hà Nội
Nhà riêng tại phường Quan Hoa	pr42654271	40.0	12.99	4	5	2	21.036139562062	105.799417606528	Cầu Giấy	Hà Nội
Nhà riêng tại phố Ngọc Khánh	pr42462045	45.0	7.8	3	3	2	21.028592006168	105.812721392019	Ba Đình	Hà Nội
Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội	pr42637587	100.0	11.99	2	2	2	21.0596752166748	105.804077148438	Tây Hồ	Hà Nội
Nhà riêng tại đường Đào Tấn	pr42467818	66.0	16.9	6	5	2	21.0325045524479	105.808844581801	Ba Đình	Hà Nội
Nhà riêng tại đường Trương Định	pr42368032	62.0	9.3	4	3	2	20.9936979056922	105.846626039959	Hoàng Mai	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	pr42581934	40.0	7.0	3	3	-1	21.0002770184297	105.828004069141	Thanh Xuân	Hà Nội
Nhà riêng tại phố Trần Quốc Hoàn	pr42610252	40.0	14.1	4	4	2	21.0416502691474	105.78642749905	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tôn Thất Tùng	pr42337224	45.0	11.59	4	5	2	21.0022970933504	105.829705650693	Đống Đa	Hà Nội
Nhà riêng tại đường Tựu Liệt	pr42582445	54.0	8.4	6	4	2	20.9536667947063	105.835317396148	Thanh Trì	Hà Nội
Căn hộ chung cư tại The Charm An Hưng	pr42591199	91.0	7.0	3	2	1	20.974397374727392	105.76012721747504	Hà Đông	Hà Nội
Nhà riêng tại phố Hoàng Cầu	pr42597049	45.0	15.5	5	6	2	21.0164406239088	105.822604619657	Đống Đa	Hà Nội
Nhà riêng tại phường Hoàng Văn Thụ	pr42583536	30.0	7.9	3	3	2	20.9878705506027	105.858944525773	Hoàng Mai	Hà Nội
Nhà riêng tại đường Huỳnh Thúc Kháng	pr42640511	65.0	9.5	3	3	2	21.0192962305762	105.809882936993	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	pr42603038	64.0	17.0	5	3	2	21.04571747339	105.881115373046	Long Biên	Hà Nội
Nhà riêng tại đường Láng	pr42592717	40.0	12.0	4	5	2	21.0216436801251	105.801080822617	Đống Đa	Hà Nội
Nhà riêng tại đường Yên Lãng	pr42144541	56.0	15.5	6	5	2	21.0115086617417	105.816802489798	Đống Đa	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42648248	91.0	12.2	4	4	2	20.984136680106	105.86356776758	Hoàng Mai	Hà Nội
Nhà riêng tại phố Quan Nhân	pr42627426	40.0	11.5	3	4	2	21.0033193592977	105.810943209862	Thanh Xuân	Hà Nội
Nhà mặt phố tại đường Thượng Thanh	pr42614853	80.0	16.0	5	6	2	21.058231433683	105.886074777667	Long Biên	Hà Nội
Nhà riêng tại phố Đại La	pr42602987	40.0	8.8	4	4	2	20.9980378575074	105.844401284712	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Vĩnh Ninh	pr42518754	45.0	7.5	4	5	-1	20.9365353098623	105.831090125148	Thanh Trì	Hà Nội
Nhà riêng tại đường Nguyễn Trãi	pr42605958	59.0	12.5	5	4	2	20.9876950517544	105.800569359157	Thanh Xuân	Hà Nội
Nhà riêng tại phố Vạn Phúc	pr42003202	55.0	8.48	4	3	2	20.9751980227577	105.786536553721	Hà Đông	Hà Nội
Nhà mặt phố tại đường Lê Đại Hành	pr42400666	41.0	13.5	3	3	2	21.0186803212834	105.846056908066	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Hà Nội Center Point	pr40559170	80.0	7.1	3	2	2	21.0048179626465	105.804672241211	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Noble Crystal Tây Hồ	pr38255231	123.0	19.68	3	2	1	21.083890914917	105.808479309082	Tây Hồ	Hà Nội
Nhà riêng tại đường Vĩnh Hồ	pr42481652	40.0	8.3	4	3	2	21.0064577869835	105.820287101139	Đống Đa	Hà Nội
Nhà riêng tại đường Tây Sơn	pr42586918	65.0	11.5	6	6	2	21.0041070214948	105.821645854365	Đống Đa	Hà Nội
Nhà riêng tại đường Ngọc Lâm	pr42582166	35.0	8.65	4	4	2	21.0472149422401	105.87151521863	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Hà Nội Tropical Garden	pr42596103	250.0	14.0	5	4	1	20.9919787061904	105.459878636462	Thạch Thất	Hà Nội
Nhà mặt phố tại đường Cù Chính Lan	pr42580893	35.0	16.0	6	6	2	21.0000499485637	105.823527131085	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Khu Ngoại Giao Đoàn	pr37344828	136.0	10.6	3	2	2	21.0658397674561	105.798149108887	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường An Dương Vương	pr42623602	58.0	11.5	6	4	2	21.090336236675	105.791059492774	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	pr42608303	130.0	9.75	3	2	2	21.008642774902217	105.80295280104544	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Đức Cảnh	pr42381022	31.0	8.3	3	4	2	20.9870525135629	105.851904085657	Hoàng Mai	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42649256	45.0	8.0	4	5	2	21.0347685903195	105.79474540048	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	pr41883837	116.0	7.5	3	2	2	21.008367813950972	105.80296684664398	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Diamond Residence	pr41185434	161.0	14.8	4	3	2	21.0052261352539	105.805061340332	Thanh Xuân	Hà Nội
Nhà riêng tại đường Kim Ngưu	pr42467585	110.0	15.4	10	3	2	21.000218123067	105.862040352701	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại PentStudio	pr42479204	156.0	19.5	3	4	-1	21.0632548711609	105.809523258237	Tây Hồ	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr34842296	90.0	16.6	5	4	-1	20.9582824707031	105.767196655273	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Mỗ - Hà Nội	pr42325567	90.0	14.49	4	4	2	20.9925317528414	105.762325383357	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Thăng Long Number One	pr41183215	117.0	8.0	3	2	2	21.003396492395108	105.7921771221018	Cầu Giấy	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr42403786	120.0	19.0	4	5	2	21.049677704453	105.866909563805	Long Biên	Hà Nội
Căn hộ chung cư tại The Zei Mỹ Đình	pr42614995	84.1	7.0	2	2	2	21.03503153904744	105.76957052896611	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Giang Biên	pr42643974	75.0	14.4	4	3	2	21.0627166129056	105.917863600439	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khai Sơn City	pr30606665	76.0	22.0	4	6	2	21.05178970000215	105.88401509728185	Long Biên	Hà Nội
Nhà riêng tại phố Hoàng Cầu	pr42422810	51.0	15.5	4	4	2	21.016717339683	105.823067318584	Đống Đa	Hà Nội
Nhà riêng tại đường Chu Huy Mân	pr42632312	57.0	7.8	4	4	2	21.0380017193063	105.903221738102	Long Biên	Hà Nội
Căn hộ chung cư tại Mailand Hanoi City	pr42392592	178.0	9.0	4	3	2	21.0150770655934	105.724925791459	Hoài Đức	Hà Nội
Nhà riêng tại đường Trần Phú	pr42574226	35.0	9.5	3	4	2	20.9746866868953	105.785424281782	Hà Đông	Hà Nội
Căn hộ chung cư tại Mandarin Garden	pr42655922	110.0	8.5	3	2	2	21.004528832871777	105.79778630302386	Cầu Giấy	Hà Nội
Nhà riêng tại đường Võ Chí Công	pr41023414	61.0	7.9	6	4	2	21.0497884383534	105.804697573956	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Chung cư 15-17 Ngọc Khánh	pr42631681	150.0	9.5	3	2	-1	21.02759863288651	105.81695421029184	Ba Đình	Hà Nội
Căn hộ chung cư tại Mỹ Đình Pearl	pr41653617	94.0	7.3	3	2	-1	21.012432098388672	105.76739501953124	Nam Từ Liêm	Hà Nội
Nhà riêng tại xã Phú Cát	pr42584345	603.4	9.051	2	2	2	20.9741136311638	105.55242900629	Quốc Oai	Hà Nội
Nhà riêng tại đường Miếu Đầm	pr42657462	35.0	11.9	6	6	2	21.0053496174173	105.782585463671	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Hinode Royal Park	pr42654282	118.0	17.0	6	5	1	21.055755244707008	105.71595941842644	Hoài Đức	Hà Nội
Căn hộ chung cư tại Tháp đôi Kepler Land	pr42635577	122.0	9.516	3	3	2	20.985979614767732	105.77978154205591	Hà Đông	Hà Nội
Nhà riêng tại phường Văn Quán	pr42615460	50.0	11.5	3	3	2	20.9761256151835	105.791348244496	Hà Đông	Hà Nội
Nhà riêng tại đường Hồ Tùng Mậu	pr41938035	40.0	8.9	4	5	2	21.0378372526193	105.773678888365	Cầu Giấy	Hà Nội
