title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Căn hộ chung cư tại Golden Westlake	pr41703271	128.0	12.0	3	2	2	21.043420791625977	105.82156372070312	Tây Hồ	Hà Nội
Căn hộ chung cư tại N05 - KDT Đông Nam Trần Duy Hưng	pr38885796	152.0	10.5	3	3	2	21.0069580078125	105.801078796387	Cầu Giấy	Hà Nội
Nhà mặt phố tại phố Lý Thường Kiệt	pr42582494	40.0	13.8	4	4	2	20.9654850730074	105.769434601497	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	pr40733061	140.0	15.0	3	2	0	20.9969854	105.8245436	Thanh Xuân	Hà Nội
Nhà riêng tại đường 70	pr42553566	38.0	7.3	5	5	2	21.0038532002712	105.749790582003	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Trung Kính	pr42643767	37.7	8.88	4	5	2	21.0138898870942	105.799791035664	Cầu Giấy	Hà Nội
Nhà mặt phố tại đường Cổ Nhuế	pr42573264	45.0	13.9	6	4	2	21.0644357524771	105.779908881521	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Văn Miếu	pr42592117	56.0	16.0	4	4	2	21.0266132808422	105.833691696398	Đống Đa	Hà Nội
Căn hộ chung cư tại Chung cư 229 Phố Vọng	pr42577759	120.0	7.7	3	2	2	20.9952889306948	105.844336621098	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Đa Sỹ	pr42636967	33.8	9.0	2	2	2	20.9596111539818	105.785550160653	Hà Đông	Hà Nội
Nhà riêng tại đường Quang Trung	pr42531956	45.0	7.9	4	4	2	20.9681322532128	105.77218715237	Hà Đông	Hà Nội
Nhà riêng tại đường Ngọc Lâm	pr42493347	32.0	7.9	3	5	2	21.046671317781	105.871631282144	Long Biên	Hà Nội
Nhà riêng tại phố Linh Lang	pr42617289	90.0	13.0	3	3	2	21.0343058872633	105.810310555134	Ba Đình	Hà Nội
Nhà riêng tại đường Mễ Trì Thượng	pr39994941	102.0	8.5	4	3	2	21.0063499	105.7778113	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Tòa nhà Vinaconex 1	pr39441115	146.0	8.0	3	2	2	21.0023365020752	105.794342041016	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Trung Yên Plaza	pr42290699	112.0	7.5	2	2	2	21.014002814069	105.801739774506	Cầu Giấy	Hà Nội
Nhà riêng tại phường Hà Cầu	pr42594854	35.0	7.0	3	4	2	20.9669833108843	105.774670161429	Hà Đông	Hà Nội
Căn hộ chung cư tại Thống Nhất Complex	pr42510631	122.0	8.7	3	2	2	20.9979663684715	105.803262153332	Thanh Xuân	Hà Nội
Nhà riêng tại phường Mỗ Lao	pr42339111	55.0	7.69	5	5	2	20.9843950547364	105.784851317696	Hà Đông	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42599662	48.5	10.0	4	5	2	21.0494066373811	105.883279689989	Long Biên	Hà Nội
Nhà mặt phố tại đường Sông Nhuệ	pr42605922	49.0	10.9	4	3	2	21.0778203755577	105.772135100093	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Pháo Đài Láng	pr42505837	42.0	15.5	4	4	2	21.0181344748382	105.803996040284	Đống Đa	Hà Nội
Nhà riêng tại phố Quan Nhân	pr42602165	65.0	16.5	4	4	2	21.0035325475734	105.810998689769	Thanh Xuân	Hà Nội
Nhà riêng tại đường Đào Tấn	pr42588712	50.0	11.5	4	3	2	21.0326280776353	105.808957998916	Ba Đình	Hà Nội
Căn hộ chung cư tại Watermark	pr39943719	107.0	11.3	2	2	2	21.055548	105.80859	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Thái Học	pr42597520	54.0	9.9	3	3	2	20.9721730597379	105.775703981695	Hà Đông	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	pr42516750	40.0	11.8	4	3	2	21.0401874217234	105.897918044122	Long Biên	Hà Nội
Căn hộ chung cư tại Golden Land	pr42469343	141.0	10.9	3	2	2	20.99294841032819	105.80649527091582	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khai Sơn Hill	pr29977731	100.0	18.0	4	6	2	21.0697357599902	105.878757242398	Long Biên	Hà Nội
Nhà riêng tại phố Phùng Chí Kiên	pr42214535	56.0	16.5	4	3	2	21.0435132449325	105.802544977383	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Xa La	pr42622954	75.0	17.0	4	4	2	20.96234812959744	105.7922973247282	Hà Đông	Hà Nội
Nhà riêng tại đường Thịnh Liệt	pr42411745	45.0	9.1	3	3	2	20.971089910953	105.844368162698	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Tràng An Complex	pr42490618	99.0	8.0	3	2	2	21.044525611748	105.803369850442	Cầu Giấy	Hà Nội
Nhà riêng tại đường Khương Đình	pr41531373	37.0	9.3	4	5	2	20.9922023095877	105.813488019076	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Five Star Kim Giang	pr37585183	116.0	8.1	3	3	2	20.9860000610352	105.812187194824	Thanh Xuân	Hà Nội
Nhà riêng tại đường Phố Trạm	pr42627210	58.0	16.8	3	6	2	21.0264079929071	105.89296713282	Long Biên	Hà Nội
Nhà riêng tại đường Kim Giang	pr41291351	178.0	16.8	5	5	2	20.963971583898	105.818537970512	Thanh Trì	Hà Nội
Nhà riêng tại đường Giáp Bát	pr42595066	50.0	21.45	4	4	2	20.9854858188172	105.843281631725	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Berriver Jardin Long Biên	pr42336502	180.0	12.3	5	3	2	21.044237412221	105.878709146836	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Tân Tây Đô	pr42601820	91.5	18.0	4	3	2	21.074935743213732	105.70074351541192	Đan Phượng	Hà Nội
Căn hộ chung cư tại Viha Complex	pr41737374	72.0	7.056	2	2	2	20.997587203979492	105.8038330078125	Thanh Xuân	Hà Nội
Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội	pr42626343	92.0	11.8	2	2	2	21.0594242896503	105.80410951273822	Tây Hồ	Hà Nội
Nhà riêng tại đường Phạm Văn Đồng	pr42657735	54.0	15.7	5	4	2	21.0730753437404	105.785772534302	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Trần Thái Tông	pr42610944	30.0	7.65	3	4	2	21.0309548639336	105.788430506877	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại đường Nguyễn Cảnh Dị	pr42652036	53.0	19.5	6	4	2	20.9772189725656	105.83636823565	Hoàng Mai	Hà Nội
Nhà riêng tại đường Đặng Vũ Hỷ	pr41073198	111.0	21.7	5	5	2	21.0730486505192	105.898434889346	Long Biên	Hà Nội
Nhà riêng tại đường Đê La Thành	pr42580040	39.0	15.0	4	6	-1	21.0165177728143	105.832399977519	Ba Đình	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr42540570	40.0	10.8	2	2	2	21.0426490298888	105.82437173329	Tây Hồ	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	pr42608274	45.0	11.5	4	4	2	20.9966540306958	105.810687564496	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Diamond Flower Tower	pr39893422	167.0	13.0	3	2	2	21.005578994750977	105.80374908447266	Thanh Xuân	Hà Nội
Nhà riêng tại đường Định Công Hạ	pr42617361	31.0	8.1	4	4	2	20.9823923252378	105.827478591962	Hoàng Mai	Hà Nội
Nhà riêng tại đường Thịnh Quang	pr42438944	42.0	7.2	4	4	2	21.0086585069227	105.817969756556	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Huy Tưởng	pr42480699	60.0	11.5	4	5	2	20.997299882259	105.804158899758	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nghi Tàm	pr42585768	67.0	14.0	5	5	2	21.0575288942905	105.835527048205	Tây Hồ	Hà Nội
Căn hộ chung cư tại The Diamond Residence	pr42231143	144.0	15.1	3	2	2	21.0052261352539	105.805061340332	Thanh Xuân	Hà Nội
Nhà mặt phố tại đường Ngô Gia Tự	pr42649311	40.0	14.0	3	3	2	21.0659924966626	105.898137603962	Long Biên	Hà Nội
Nhà riêng tại đường Minh Khai	pr41024838	88.0	22.0	3	2	2	20.9978057740155	105.866812669441	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Bát Khối	pr42595826	50.0	9.7	4	4	2	21.0129220201562	105.904865187131	Long Biên	Hà Nội
Nhà riêng tại đường Đội Cấn	pr42619584	36.0	7.9	4	5	2	21.0377255545361	105.810773018264	Ba Đình	Hà Nội
Căn hộ chung cư tại The Golden Palm Lê Văn Lương	pr32319286	100.0	7.7	3	2	2	21.006311416626	105.807479858398	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại phố Trần Bình	pr42619582	70.0	18.0	4	4	2	21.0359650989032	105.778277831402	Cầu Giấy	Hà Nội
Nhà riêng tại phố Trần Đại Nghĩa	pr42288508	40.0	10.6	4	4	2	20.9972042788711	105.846084998522	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Nguyễn Khánh Toàn	pr42583874	55.0	14.0	6	6	-1	21.037828884515	105.80093257265	Cầu Giấy	Hà Nội
Nhà riêng tại đường Xuân Phương	pr42529813	35.0	8.1	4	5	2	21.0435337825921	105.737225139633	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu nhà ở Bắc Hà	pr41060196	88.0	20.6	5	5	2	20.9825325012207	105.789642333984	Hà Đông	Hà Nội
Căn hộ chung cư tại Royal City	pr41636350	181.0	17.5	3	3	2	21.002666473388672	105.8154296875	Thanh Xuân	Hà Nội
Nhà riêng tại đường Thanh Nhàn	pr42203431	39.0	9.5	4	5	2	21.0029606444275	105.853464020996	Hai Bà Trưng	Hà Nội
Nhà mặt phố tại đường Kiến Hưng	pr42595861	50.0	11.48	5	4	2	20.9387174407188	105.733235856592	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Kiến Hưng Luxury	pr42640941	65.0	16.6	6	6	2	20.9528267018625	105.785284639297	Hà Đông	Hà Nội
Nhà riêng tại đường Bằng Liệt	pr42644703	38.0	7.5	2	2	2	20.9659693974554	105.82232678446	Hoàng Mai	Hà Nội
Nhà riêng tại đường Xuân La	pr42593346	40.0	7.95	4	5	2	21.0642924219096	105.806090415312	Tây Hồ	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr41603338	38.0	7.9	3	4	2	21.0711398201335	105.79422135991	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42599848	52.0	18.0	6	6	2	21.0303358023419	105.801280291446	Cầu Giấy	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr41871269	36.3	7.5	3	4	2	21.071375004482	105.794020690417	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Ngọc Lâm	pr42608709	37.0	8.63	3	4	2	21.0469390056579	105.872121037389	Long Biên	Hà Nội
Căn hộ chung cư tại Trung tâm thương mại TSQ	pr42654206	174.0	9.0	4	3	2	20.978139998635953	105.78343147841612	Hà Đông	Hà Nội
Nhà riêng tại đường Yên Lũng	pr42492031	86.0	11.5	5	3	2	21.008180874757	105.71262766057	Hoài Đức	Hà Nội
Nhà riêng tại đường Tứ Liên	pr42441923	75.0	18.0	4	5	2	21.0694644417568	105.838031970834	Tây Hồ	Hà Nội
Nhà riêng tại đường Nguyễn Ngọc Nại	pr42552679	44.0	11.0	6	4	2	20.9988511786211	105.825724427695	Thanh Xuân	Hà Nội
Nhà riêng tại đường Đê Tô Hoàng	pr42618227	44.5	7.85	3	3	2	21.0072140253065	105.849532034755	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Kiến Hưng	pr42306378	50.0	14.5	6	5	2	20.9382001970651	105.73351890176	Hà Đông	Hà Nội
Nhà riêng tại phố Vũ Tông Phan	pr42584150	50.0	10.7	4	5	2	20.9978073255435	105.817437523937	Thanh Xuân	Hà Nội
Nhà riêng tại đường Đội Cấn	pr42589504	65.0	15.2	4	4	2	21.0378883763487	105.810725269295	Ba Đình	Hà Nội
Nhà riêng tại đường Ngô Gia Tự	pr42581446	57.0	7.8	4	4	2	21.0618273555431	105.894732480544	Long Biên	Hà Nội
Căn hộ chung cư tại Viha Complex	pr42597989	94.0	9.4	3	3	1	20.99758084893086	105.8038510107101	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Chung cư H9-CT1 Starlake	pr41981090	101.0	12.8	2	2	2	21.052964138004043	105.79140511774676	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Times Tower Lê Văn Lương	pr42471546	128.0	8.0	3	2	2	21.0020867605307	105.802071153368	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn An Ninh	pr42406586	50.0	8.8	6	4	2	20.9914360265256	105.844933512818	Hoàng Mai	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr42655324	50.0	9.8	4	4	2	21.0500730199618	105.866793272165	Long Biên	Hà Nội
Nhà riêng tại đường Đặng Tiến Đông	pr42572647	63.0	11.5	5	6	2	21.014544205197	105.821332326453	Đống Đa	Hà Nội
Nhà riêng tại đường Bùi Huy Bích	pr42621022	37.0	7.65	4	5	2	20.9670686247381	105.844846059713	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Vinhomes West Point	pr42610254	101.0	9.5	3	2	2	21.012182336988776	105.78611598438214	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	pr42609874	35.0	7.2	6	4	2	21.0417493680009	105.820564513017	Ba Đình	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr42447127	31.0	7.88	4	4	2	21.0713411319145	105.794239109581	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phường Vạn Phúc	pr42246047	47.0	9.65	4	5	2	20.9804640568731	105.772038044853	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Mỗ - Hà Nội	pr42609758	89.0	17.3	6	6	2	20.9929567539888	105.76211614424494	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại The Zen Residence	pr42588131	93.25	7.4	3	2	-1	20.971582172351543	105.87977656033868	Hoàng Mai	Hà Nội
Nhà riêng tại đường Mễ Trì Hạ	pr42546885	70.0	13.0	4	5	2	21.0139547307773	105.781226923815	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Hà Nội Tropical Garden	pr42404061	300.0	19.5	4	4	2	20.9916348581529	105.458658350917	Thạch Thất	Hà Nội
Căn hộ chung cư tại Sky City Towers-88 Láng Hạ	pr42656424	145.5	14.55	3	3	2	21.01237916843207	105.81125976929886	Đống Đa	Hà Nội
Nhà riêng tại đường Minh Khai	pr42422932	38.0	7.66	4	4	2	20.9952002766431	105.856791188455	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân	pr42625331	105.0	8.6	3	2	2	21.004746561845216	105.80414825032663	Thanh Xuân	Hà Nội
Nhà riêng tại phường Giảng Võ	pr42626966	38.0	7.9	2	3	2	21.0263711341448	105.817694473651	Ba Đình	Hà Nội
Nhà mặt phố tại đường Đức Giang	pr42414498	40.0	8.5	4	4	2	21.0661402050097	105.891651085293	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Chí Thanh	pr42223499	55.0	18.8	5	4	2	21.0203085543089	105.808342310807	Đống Đa	Hà Nội
Nhà riêng tại phường Ngọc Lâm	pr42642846	41.0	8.2	4	4	2	21.0463040845693	105.872016513904	Long Biên	Hà Nội
Nhà riêng tại đường Cầu Đơ 4	pr42372301	33.0	7.8	3	4	2	20.9702343209319	105.775362736116	Hà Đông	Hà Nội
Nhà riêng tại phố Đại La	pr42624789	45.0	7.5	4	4	2	20.9982260144422	105.844253564615	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Lạc Long Quân	pr42655412	95.0	15.5	6	4	0	21.0745261993064	105.813465443503	Tây Hồ	Hà Nội
Căn hộ chung cư tại Royal City	pr40796024	133.6	12.0	4	2	2	21.002666473388672	105.8154296875	Thanh Xuân	Hà Nội
Nhà riêng tại phường Định Công	pr42626038	40.0	10.9	3	6	2	20.9831745106004	105.829781262047	Hoàng Mai	Hà Nội
Nhà riêng tại đường Văn Cao	pr41906039	60.0	16.0	5	5	2	21.0399678368812	105.816002340557	Ba Đình	Hà Nội
Nhà riêng tại đường Nguyễn Ngọc Nại	pr42610044	70.0	18.3	3	4	2	20.998975002285	105.825777621667	Thanh Xuân	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42630081	49.0	18.0	4	5	2	21.0292516234396	105.803577539908	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Chánh	pr42634269	62.0	19.2	5	5	2	21.0120051285212	105.792478968766	Cầu Giấy	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42575176	46.0	15.9	5	5	2	21.0320372552791	105.799389204686	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Thăng Long Number One	pr42407280	118.0	7.9	3	2	2	21.002524507513357	105.79214973158628	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Sunshine Riverside	pr42636027	100.0	7.9	3	2	2	21.0843321489786	105.811480202898	Tây Hồ	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42529983	42.0	14.6	3	4	2	21.0319629402979	105.799509551273	Cầu Giấy	Hà Nội
Nhà riêng tại phố Tôn Đức Thắng	pr42624024	38.0	11.8	4	4	2	21.0271777639096	105.833746738187	Đống Đa	Hà Nội
Nhà mặt phố tại đường Hữu Lê	pr41363028	52.0	13.8	5	5	2	20.9510271819455	105.803866218993	Thanh Trì	Hà Nội
Nhà riêng tại đường An Dương Vương	pr42601777	48.0	9.5	5	4	2	21.089681790684	105.803998261406	Tây Hồ	Hà Nội
Nhà riêng tại đường Phạm Thận Duật	pr42589616	55.0	17.3	5	4	2	21.043247893159	105.778527267687	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trường Chinh	pr42602567	42.0	14.5	3	5	2	21.00081877334	105.829762227178	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Bamboo Airways Tower	pr42175504	125.0	9.2	3	2	0	21.0337727383219	105.795487516344	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Trãi	pr42606089	59.0	12.6	6	4	-1	20.9876151984475	105.800217199441	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	pr42624540	41.0	7.6	4	4	2	21.0456781638296	105.880744405781	Long Biên	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr42543790	170.0	13.3	3	4	2	21.0407309419537	105.896562656719	Long Biên	Hà Nội
Nhà riêng tại đường Lạc Long Quân	pr42641901	46.0	8.7	6	5	2	21.0609434668856	105.809353028431	Tây Hồ	Hà Nội
Nhà riêng tại đường Bồ Đề	pr42609086	58.0	9.5	4	3	2	21.0381300878781	105.872160912158	Long Biên	Hà Nội
Căn hộ chung cư tại Sky City Towers-88 Láng Hạ	pr32844310	102.0	8.0	2	2	-1	21.0124912261963	105.811317443848	Đống Đa	Hà Nội
Căn hộ chung cư tại New Horizon City - 87 Lĩnh Nam	pr42574012	105.0	7.3	3	2	2	20.98861182415577	105.86680807255874	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Hyundai Hillstate	pr42644853	139.0	8.55	3	2	2	20.962909246445907	105.77354003939487	Hà Đông	Hà Nội
Căn hộ chung cư tại Hoàng Thành Pearl	pr41232282	110.0	7.7	3	2	0	21.040159225463867	105.76131439208984	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Quan Nhân	pr42593059	28.5	7.8	3	4	2	21.0035374679152	105.810867853106	Thanh Xuân	Hà Nội
Nhà riêng tại đường Thượng Thanh	pr42118637	43.0	8.9	4	4	2	21.0583704019399	105.885980821282	Long Biên	Hà Nội
Nhà riêng tại phố Xã Đàn	pr40918203	55.0	18.5	4	5	2	21.0164721657817	105.831642203186	Đống Đa	Hà Nội
Nhà riêng tại phường Vạn Phúc	pr42598343	46.0	10.3	6	4	2	20.9800433245537	105.771882578493	Hà Đông	Hà Nội
Căn hộ chung cư tại Times City	pr38993159	160.0	14.0	4	4	2	20.9947910308838	105.86784362793	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Nguyễn Tuân	pr42640393	50.0	19.5	7	4	2	20.9990871601638	105.803135171096	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Iris Garden	pr42451573	78.0	21.9	6	5	2	21.0313066029398	105.760685611736	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Dương Văn Bé	pr42616728	45.0	8.5	6	4	2	20.9958913041792	105.87406000421	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Phan Đình Giót	pr42631359	45.0	8.2	4	4	2	20.9672351949455	105.765043952012	Hà Đông	Hà Nội
Nhà riêng tại phố Lò Đúc	pr42579472	79.0	10.2	5	4	2	21.0183873216538	105.855435624328	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Kim Mã	pr42580672	45.0	9.0	3	4	2	21.0320580813972	105.825161805213	Ba Đình	Hà Nội
Nhà riêng tại phố Thái Hà	pr42385991	40.0	11.0	5	6	2	21.0138140140828	105.826583283878	Đống Đa	Hà Nội
Nhà riêng tại đường Xuân Đỗ	pr42021680	100.0	13.0	4	2	2	21.010476939181	105.90972799135	Long Biên	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr42590201	62.0	18.7	4	5	2	21.0464891275694	105.799341143598	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Zen Residence	pr38353159	100.0	8.1	3	2	0	20.9717617034912	105.878929138184	Hoàng Mai	Hà Nội
Nhà riêng tại phố Phùng Chí Kiên	pr42572225	48.0	15.8	4	5	2	21.0433620966845	105.802964636336	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tư Đình	pr42621937	40.0	11.8	4	5	2	21.0287483493467	105.883993658945	Long Biên	Hà Nội
Nhà riêng tại đường Định Công	pr42605267	33.0	8.1	4	6	2	20.9829392248783	105.834987548373	Hoàng Mai	Hà Nội
Nhà riêng tại phường Quan Hoa	pr42573611	40.0	14.6	5	5	2	21.0363150917441	105.799584496889	Cầu Giấy	Hà Nội
Căn hộ chung cư tại N03-T3&T4 Ngoại Giao Đoàn	pr42405070	128.0	9.3	3	2	2	21.06392179325012	105.79893235020693	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Đàm Quang Trung	pr42646461	50.0	16.5	6	5	2	21.0318406811428	105.900653880663	Long Biên	Hà Nội
Nhà riêng tại đường Bùi Xương Trạch	pr42622447	40.0	7.7	4	4	2	20.9871080059293	105.818783378668	Thanh Xuân	Hà Nội
Nhà riêng tại phố Linh Lang	pr42428496	60.0	7.6	4	3	2	21.0345475835111	105.809938399746	Ba Đình	Hà Nội
Nhà riêng tại đường Mỹ Đình	pr41880589	45.0	7.5	4	4	2	21.0236974399798	105.774123478292	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Bùi Xương Trạch	pr42598641	46.0	7.97	6	3	2	20.9872187872832	105.818237209683	Thanh Xuân	Hà Nội
Nhà riêng tại đường Bạch Đằng	pr42356651	50.0	8.2	3	4	2	21.0249797063966	105.862015569832	Hoàn Kiếm	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	pr42521929	125.0	9.0	3	2	2	20.971164649927935	105.82818480894704	Hoàng Mai	Hà Nội
Nhà riêng tại đường Phố Lụa	pr42399786	35.0	8.66	3	4	2	20.967560795825253	105.77962034478152	Hà Đông	Hà Nội
Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân	pr42253978	105.0	8.8	3	2	2	21.0046138763428	105.804077148438	Thanh Xuân	Hà Nội
Nhà riêng tại xã Yên Thường	pr42604144	153.0	12.8	5	3	2	21.1036081254239	105.921738771694	Gia Lâm	Hà Nội
Nhà riêng tại đường Xuân La	pr42643253	40.0	12.3	3	5	2	21.0648973967329	105.806197131836	Tây Hồ	Hà Nội
Nhà riêng tại đường Nguyên Hồng	pr42396788	53.0	19.0	6	6	2	21.0156949878156	105.809850698351	Đống Đa	Hà Nội
Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai	pr42146900	80.0	12.9	2	2	2	21.03379011084462	105.8165519630088	Ba Đình	Hà Nội
Nhà riêng tại đường Hoa Bằng	pr41761856	50.0	8.0	4	4	2	21.0236005781508	105.792845637388	Cầu Giấy	Hà Nội
Nhà riêng tại đường Văn Tiến Dũng	pr42518530	40.0	7.5	4	5	2	21.0532882020795	105.750129203982	Bắc Từ Liêm	Hà Nội
Nhà mặt phố tại đường Hoàng Đạo Thành	pr42459080	30.0	10.0	3	2	2	20.9831028267964	105.812537327869	Thanh Xuân	Hà Nội
Nhà riêng tại đường 422B	pr41852375	40.0	7.5	5	6	2	21.0416399245316	105.721297103026	Hoài Đức	Hà Nội
Nhà mặt phố tại đường Trương Định	pr42411921	60.0	18.0	4	4	2	20.994888071737	105.850106539896	Hai Bà Trưng	Hà Nội
Nhà biệt thự, liền kề tại Liền kề Tổng cục 5 Tân Triều	pr38837704	60.0	15.0	2	3	-1	20.969430217803552	105.79894503481296	Thanh Trì	Hà Nội
Nhà biệt thự, liền kề tại Liền kề Tổng cục 5 Tân Triều	pr42084291	70.0	15.5	6	5	2	20.9696982536246	105.799546615834	Thanh Trì	Hà Nội
Nhà mặt phố tại đường Nguyễn An Ninh	pr41962323	44.7	14.0	8	5	2	20.9911918798179	105.844701698193	Hoàng Mai	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	pr42636125	38.0	7.8	3	4	2	21.0464718309371	105.8104094193	Tây Hồ	Hà Nội
Nhà riêng tại phố Bạch Mai	pr42615163	37.0	8.3	3	3	2	20.9979683565719	105.850517116317	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Heritage West Lake	pr42432677	150.0	21.0	3	3	2	21.073005056569105	105.81235574751828	Tây Hồ	Hà Nội
Nhà riêng tại đường Nguyễn Văn Huyên	pr42649495	45.0	18.5	4	5	2	21.0381248626612	105.797584017114	Cầu Giấy	Hà Nội
Nhà riêng tại đường Ngọc Lâm	pr42641171	52.0	17.61	3	3	2	21.0467662185914	105.871835309999	Long Biên	Hà Nội
Nhà mặt phố tại đường Cửu Việt 2	pr42083102	105.0	14.5	2	1	2	21.0101409218178	105.936482660472	Gia Lâm	Hà Nội
Nhà riêng tại đường Lạc Long Quân	pr42468821	31.0	9.0	5	5	2	21.0612910585487	105.808951423461	Tây Hồ	Hà Nội
Căn hộ chung cư tại Rivera Park Hà Nội	pr42246939	93.0	8.5	3	2	2	20.999113666428293	105.80842983654244	Thanh Xuân	Hà Nội
Nhà riêng tại đường Mỹ Đình	pr42647956	27.0	7.5	3	4	2	21.0237201242018	105.773972797921	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Dreamland Bonanza	pr38673355	92.0	8.0	3	2	2	21.0306091308594	105.781028747559	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại FLC Complex 36 Phạm Hùng	pr42648008	97.0	7.0	3	2	2	21.02857594873361	105.77920208795612	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại HPC Landmark 105	pr42125660	110.0	7.2	3	3	2	20.97288844885933	105.7590631769728	Hà Đông	Hà Nội
Căn hộ chung cư tại King Palace	pr42340612	116.0	9.0	3	2	1	20.9996475293778	105.815549831465	Thanh Xuân	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr42586083	45.0	13.5	3	4	2	21.0501042855275	105.866563793862	Long Biên	Hà Nội
Nhà riêng tại đường Âu Cơ	pr41671895	40.0	10.0	3	4	2	21.0742533554953	105.823989376249	Tây Hồ	Hà Nội
Căn hộ chung cư tại N04 - KĐT Đông Nam Trần Duy Hưng	pr42653845	125.0	10.8	3	2	2	21.0088787078857	105.800254821777	Cầu Giấy	Hà Nội
