[2025-04-24T06:12:20.191+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116884098.htm
[2025-04-24T06:12:29.159+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116920305.htm
[2025-04-24T06:12:37.203+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116923716.htm
[2025-04-24T06:12:44.246+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116926462.htm
[2025-04-24T06:12:51.836+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116967492.htm
[2025-04-24T06:12:59.202+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117129456.htm
[2025-04-24T06:13:06.615+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117139404.htm
[2025-04-24T06:13:15.976+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117151677.htm
[2025-04-24T06:13:24.928+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117183976.htm
[2025-04-24T06:13:32.642+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117453284.htm
[2025-04-24T06:13:40.815+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117458280.htm
[2025-04-24T06:13:47.364+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117527100.htm
[2025-04-24T06:13:54.426+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117582348.htm
[2025-04-24T06:14:00.153+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117640012.htm
[2025-04-24T06:14:07.793+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117689180.htm
[2025-04-24T06:14:15.334+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117727791.htm
[2025-04-24T06:14:22.820+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117730518.htm
[2025-04-24T06:14:30.411+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117824428.htm
[2025-04-24T06:14:38.405+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117906541.htm
[2025-04-24T06:14:46.723+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117906692.htm
[2025-04-24T06:14:53.870+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117917158.htm
[2025-04-24T06:15:02.261+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117917324.htm
[2025-04-24T06:15:10.818+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117921730.htm
[2025-04-24T06:15:19.392+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117928174.htm
[2025-04-24T06:15:26.883+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117952245.htm
[2025-04-24T06:15:33.363+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/117985506.htm
[2025-04-24T06:15:41.166+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118027667.htm
[2025-04-24T06:15:48.180+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118043835.htm
[2025-04-24T06:15:54.468+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118051294.htm
[2025-04-24T06:16:02.420+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118063019.htm
[2025-04-24T06:16:09.533+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118107613.htm
[2025-04-24T06:16:16.862+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118137824.htm
[2025-04-24T06:16:25.867+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118141455.htm
[2025-04-24T06:16:33.511+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118169046.htm
[2025-04-24T06:16:41.488+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118188379.htm
[2025-04-24T06:16:49.369+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118266191.htm
[2025-04-24T06:16:56.871+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118267035.htm
