title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán đất tại phường Xuân La	pr42653226	80 m²	5 m	19 tỷ					Sổ đỏ/ Sổ hồng	21.0623259052292	105.80725773537	Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà mặt phố tại phố Thạch Lam	pr40451853	135 m²	7 m	21 tỷ	Nam	5 phòng	6 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.7780173	106.6274539	Đường  Thạch Lam, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Nhà riêng tại đường Số 5 Cư xá Chu Văn An	pr41975491	64 m²	4 m	11 tỷ		4 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.8129855402767	106.706411191211	Đường Số 5 Cư xá Chu Văn An, Phường 26, Bình Thạnh, Hồ Chí Minh	Bình Thạnh	Hồ Chí Minh
Nhà mặt phố tại phường Tân Phú	pr42632560	60 m²	4 m	11,8 tỷ		4 phòng	5 phòng	Cơ bản	Sổ đỏ/ Sổ hồng	10.7243775292407	106.726378725528	Phường Tân Phú, Quận 7, Hồ Chí Minh	Quận 7	Hồ Chí Minh
Căn hộ chung cư tại Diamond  Alnata Plus - Celadon City	pr42524645	117 m²		7,6 tỷ	Tây - Nam	3 phòng	2 phòng	Cơ bản	Hợp đồng mua bán	10.8060465	106.61587	Dự án Diamond  Alnata Plus - Celadon City, Quận Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Bán đất tại xã Uy Nỗ	pr41313270	76,6 m²	4,4 m	130 triệu/m²	Nam				Sổ đỏ/ Sổ hồng	21.1282512651259	105.845868385955	Thôn Phúc Lộc, Xã Uy Nỗ, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Tư Đình	pr42626871	33 m²	4 m	8,9 tỷ	Tây	3 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0288726126243	105.884105571026	Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42544662	136 m²	8 m	27,8 tỷ	Đông - Nam	8 phòng	8 phòng	Không nội thất	Hợp đồng mua bán	21.09648845144186	105.7118184118078	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại đường Bạch Đằng	pr42633598	91,3 m²	5,7 m	10,5 tỷ		5 phòng	6 phòng		Sổ đỏ/ Sổ hồng	10.8032525092826	106.704745690983	Đường Bạch Đằng, Phường 24, Bình Thạnh, Hồ Chí Minh	Bình Thạnh	Hồ Chí Minh
Nhà mặt phố tại phố Thạch Lam	pr41538744	235 m²		21 tỷ		6 phòng	6 phòng		Sổ đỏ/ Sổ hồng	10.7779794768231	106.627145695422	Đường  Thạch Lam, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Nhà mặt phố tại đường Hoàng Hoa Thám	pr42635042	75 m²	5,2 m	24,5 tỷ		2 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0463307103291	105.810429523588	Đường Hoàng Hoa Thám, Phường Bưởi, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường 916	pr42580308	343 m²	10 m	21 triệu/m²					Sổ đỏ/ Sổ hồng	21.0457823867332	105.506423844771	Đường 916, Xã Cổ Đông, Sơn Tây, Hà Nội	Sơn Tây	Hà Nội
Nhà riêng tại đường Xô Viết Nghệ Tĩnh	pr42530529	120 m²		11,6 tỷ		2 phòng	2 phòng		Sổ đỏ/ Sổ hồng	10.8109623858687	106.71317198487	Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh	Bình Thạnh	Hồ Chí Minh
Nhà riêng tại phố Kim Mã	pr42626616	80 m²	5,8 m	25,5 tỷ		10 phòng	10 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0319851683289	105.825093062798	Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr42578706	30 m²		7,2 tỷ						21.071305216458	105.794356470988	Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại đường Đỗ Xuân Hợp	pr40369670	160 m²		22,5 tỷ		5 phòng	6 phòng	Thiết kế nội thất cao cấp tặng full nội thất.	Sổ đỏ/ Sổ hồng	10.8151776	106.774778	270, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh	Quận 9	Hồ Chí Minh
Nhà riêng tại đường Bưởi	pr42597620	81 m²	6 m	15,5 tỷ		4 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0390112469698	105.806641443275	Đường Bưởi, Phường Đội Cấn, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại phường Phố Mới	pr42616746	410 m²		56,5 triệu/m²					Sổ đỏ/ Sổ hồng	22.5041055849293	103.988746751256	Đường Phan Đình Giót, Phường Phố Mới, Lào Cai, Lào Cai	Lào Cai	Lào Cai
Đất nền dự án tại KDC Phú Nhuận - Phước Long B	pr42614139	315 m²	22,5 m	90 triệu/m²	Đông - Nam				Sổ đỏ/ Sổ hồng	10.8040962219238	106.785789489746	Dự án KDC Phú Nhuận - Phước Long B, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh	Quận 9	Hồ Chí Minh
Nhà biệt thự, liền kề tại The Empire - Vinhomes Ocean Park 2	pr42625673	98 m²	7 m	12,8 tỷ					Sổ đỏ/ Sổ hồng	20.942467109151902	105.95541231014478	Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên	Văn Giang	Hưng Yên
Nhà biệt thự, liền kề tại Khu đô thị mới Xa La	pr41323677	75 m²	5 m	16 tỷ		4 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9620598321174	105.792243535364	Dự án KĐT Xa La, Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Vista Verde	pr42557488	216 m²		15,5 tỷ	Tây - Bắc	4 phòng	4 phòng	Không nội thất	Sổ đỏ/ Sổ hồng	10.7765420407228	106.755603126104	Vista Verde, Phan Văn Đáng,  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh	Quận 2	Hồ Chí Minh
